Name,DataSource,QuandlDataset,QuandlName,QuandlColumn(startindex=1),isYahooIndex,Overwrite
AEX,Yahoo,NA,NA,0,true,false
AORD,Yahoo,NA,NA,0,true,false
BVSP,Yahoo,NA,NA,0,true,false
GDAXI,Yahoo,NA,NA,0,true,false
DJIA,QUANDL,BCB,UDJIAD1,2,0,false
FTSE,Yahoo,NA,NA,0,true,false
HSI,Yahoo,NA,NA,0,true,false
JKSE,Yahoo,NA,NA,0,true,false
KS11,Yahoo,NA,NA,0,true,false
MERV,Yahoo,NA,NA,0,true,false
N225,Yahoo,NA,NA,0,true,false
BSESN,Yahoo,NA,NA,0,true,false
000001.SS,Yahoo,NA,NA,0,0,false
GSPC,Yahoo,NA,NA,0,true,false
TNX,Yahoo,NA,NA,0,true,false
DAAA,FED,NA,NA,0,0,false
DGS30,FED,NA,NA,0,0,false
WILL5000IND,FED,NA,NA,0,0,false
IXIC,Yahoo,NA,NA,0,true,false
RUT,Yahoo,NA,NA,0,true,false
VIX,Yahoo,NA,NA,0,true,false
RTS.RS,Yahoo,NA,NA,0,0,false
FCHI,Yahoo,NA,NA,0,true,false
IBEX,QUANDL,YAHOO,INDEX_IBEX,7,0,false
NZ50,Yahoo,NA,NA,0,true,false
BELEXLINE,QUANDL,BELGRADESE,BELEXLINE,2,0,false
UX,QUANDL,UKRSE,UX,5,0,false
CROBEX,QUANDL,ZAGREBSE,CROBEX,2,0,false
BUX,QUANDL,BUDAPESTSE,BUX,3,0,false
PX,QUANDL,PRAGUESE,PX,2,0,false
PSE,QUANDL,PHILSE,PSE,5,0,false
BDI,QUANDL,OFDP,INDEX_BDI,2,0,false
NSEI,Yahoo,NA,NA,0,true,false
STI,Yahoo,NA,NA,0,true,false
BAMLHYH0A0HYM2TRIV,FED,NA,NA,0,0,false
BAMLH0A0HYM2EY,FED,NA,NA,0,0,false
NYA,Yahoo,NA,NA,0,true,false
GD.AT,Yahoo,NA,NA,0,0,false
NQNO,QUANDL,NASDAQOMX,NQNO,2,0,false
NQDK,QUANDL,NASDAQOMX,NQDK,2,0,false
OMX,Yahoo,NA,NA,0,true,false
SSMI,Yahoo,NA,NA,0,true,false
ATX,Yahoo,NA,NA,0,true,false
NQIT,QUANDL,NASDAQOMX,NQIT,2,0,false
MXY,Yahoo,NA,NA,0,true,false
TYX,Yahoo,NA,NA,0,true,false
